frame,t,f_number,exposure_s,iso,master_gain_db,white_balance_raw,ext_magnification_pct,gyro_abs_mean,accel_mean_x,accel_mean_y,accel_mean_z
0,0.0,5.61156555446709,0.015625,250,8,33,100,87.43781094527363,-1619.8,-514.3,8124.1
1,0.0334,5.61156555446709,0.015625,250,8,33,100,58.58706467661692,-1638.1,-505.8,8120.5
2,0.0667,5.61156555446709,0.015625,250,8,33,100,79.53030303030303,-1838.4,-543.6,8086.2
3,0.1001,5.61156555446709,0.015625,250,8,33,100,78.79601990049751,-1594.3,-462.1,8134.3
4,0.1335,5.61156555446709,0.015625,250,8,33,100,56.38805970149254,-1714.9,-506.1,8110.0
5,0.1668,5.61156555446709,0.015625,250,8,33,100,87.62189054726367,-1769.3,-502.5,8097.6
6,0.2002,5.61156555446709,0.015625,250,8,33,100,70.98484848484848,-1600.3,-517.5,8124.8
7,0.2336,5.61156555446709,0.015625,250,8,33,100,62.56716417910448,-1756.8,-513.6,8103.5
8,0.2669,5.61156555446709,0.015625,250,8,33,100,87.40796019900498,-1712.1,-505.3,8108.9
9,0.3003,5.61156555446709,0.015625,250,8,33,100,59.039800995024876,-1642.8,-495.6,8119.3
10,0.3337,5.61156555446709,0.015625,250,8,33,100,77.43939393939394,-1771.3,-506.3,8102.7
11,0.367,5.61156555446709,0.015625,250,8,33,100,78.62189054726367,-1662.3,-509.7,8118.0
12,0.4004,5.61156555446709,0.015625,250,8,33,100,64.05970149253731,-1690.9,-502.6,8117.2
13,0.4338,5.61156555446709,0.015625,250,8,33,100,78.6969696969697,-1744.8,-515.0,8103.6
14,0.4671,5.61156555446709,0.015625,250,8,33,100,72.05970149253731,-1648.9,-493.9,8115.8
15,0.5005,5.61156555446709,0.015625,250,8,33,100,66.46766169154229,-1729.8,-507.9,8104.9
16,0.5339,5.61156555446709,0.015625,250,8,33,100,81.67661691542288,-1710.4,-506.2,8110.8
17,0.5672,5.61156555446709,0.015625,250,8,33,100,67.91919191919192,-1659.0,-509.3,8116.0
18,0.6006,5.61156555446709,0.015625,250,8,33,100,71.39800995024876,-1741.4,-505.9,8106.1
19,0.634,5.61156555446709,0.015625,250,8,33,100,78.06965174129353,-1680.3,-504.5,8112.7
20,0.6673,5.61156555446709,0.015625,250,8,33,100,65.43283582089552,-1690.1,-501.9,8115.8
21,0.7007,5.61156555446709,0.015625,250,8,33,100,77.84848484848484,-1731.0,-508.6,8108.0
22,0.7341,5.61156555446709,0.015625,250,8,33,100,71.50248756218906,-1670.0,-506.8,8114.1
23,0.7674,5.61156555446709,0.015625,250,8,33,100,69.8905472636816,-1711.6,-510.0,8110.0
24,0.8008,5.61156555446709,0.015625,250,8,33,100,76.59701492537313,-1706.1,-509.3,8112.0
25,0.8342,5.61156555446709,0.015625,250,8,33,100,70.08585858585859,-1679.5,-502.7,8114.3
26,0.8675,5.61156555446709,0.015625,250,8,33,100,71.76616915422886,-1719.4,-503.5,8108.6
27,0.9009,5.61156555446709,0.015625,250,8,33,100,75.56716417910448,-1689.1,-502.9,8113.4
28,0.9343,5.61156555446709,0.015625,250,8,33,100,69.23737373737374,-1692.8,-509.6,8112.3
29,0.9676,5.61156555446709,0.015625,250,8,33,100,74.61691542288557,-1715.6,-503.9,8111.5
30,1.001,5.61156555446709,0.015625,250,8,33,100,72.8955223880597,-1684.1,-506.4,8111.4
31,1.0344,5.61156555446709,0.015625,250,8,33,100,70.62189054726367,-1706.0,-504.3,8107.4
32,1.0677,5.61156555446709,0.015625,250,8,33,100,75.56565656565657,-1705.1,-505.4,8110.0
33,1.1011,5.61156555446709,0.015625,250,8,33,100,71.57213930348259,-1687.1,-504.7,8118.9
34,1.1345,5.61156555446709,0.015625,250,8,33,100,73.70149253731343,-1711.0,-507.1,8110.7
35,1.1678,5.61156555446709,0.015625,250,8,33,100,72.91542288557214,-1697.7,-505.8,8110.4
36,1.2012,5.61156555446709,0.015625,250,8,33,100,70.25252525252525,-1699.1,-507.4,8112.4
37,1.2346,5.61156555446709,0.015625,250,8,33,100,73.87064676616916,-1708.6,-505.3,8107.5
38,1.2679,5.61156555446709,0.015625,250,8,33,100,73.35820895522389,-1692.9,-503.4,8114.0
39,1.3013,5.61156555446709,0.015625,250,8,33,100,71.50746268656717,-1704.8,-510.0,8109.6
40,1.3347,5.61156555446709,0.015625,250,8,33,100,73.9040404040404,-1700.5,-504.3,8111.1
41,1.368,5.61156555446709,0.015625,250,8,33,100,71.82089552238806,-1694.9,-504.0,8110.0
42,1.4014,5.61156555446709,0.015625,250,8,33,100,73.42288557213931,-1705.4,-506.5,8110.5
43,1.4348,5.61156555446709,0.015625,250,8,33,100,73.21717171717172,-1695.8,-504.1,8110.4
44,1.4681,5.61156555446709,0.015625,250,8,33,100,71.55223880597015,-1703.0,-507.8,8109.1
45,1.5015,5.61156555446709,0.015625,250,8,33,100,73.02487562189054,-1702.0,-507.2,8109.8
46,1.5349,5.61156555446709,0.015625,250,8,33,100,72.77611940298507,-1697.7,-507.8,8109.6
47,1.5682,5.61156555446709,0.015625,250,8,33,100,72.34848484848484,-1705.2,-505.9,8112.5
48,1.6016,5.61156555446709,0.015625,250,8,33,100,73.54228855721394,-1699.9,-502.9,8109.0
49,1.635,5.61156555446709,0.015625,250,8,33,100,71.45771144278606,-1700.2,-503.1,8107.6
50,1.6683,5.61156555446709,0.015625,250,8,33,100,73.48756218905473,-1703.4,-508.8,8109.1
51,1.7017,5.61156555446709,0.015625,250,8,33,100,72.76767676767676,-1701.0,-510.2,8111.7
52,1.7351,5.61156555446709,0.015625,250,8,33,100,72.91044776119404,-1702.8,-508.3,8108.6
53,1.7684,5.61156555446709,0.015625,250,8,33,100,73.7860696517413,-1699.3,-509.7,8107.3
54,1.8018,5.61156555446709,0.015625,250,8,33,100,72.07960199004975,-1696.4,-509.6,8111.7
55,1.8352,5.61156555446709,0.015625,250,8,33,100,72.67171717171718,-1702.2,-506.8,8107.6
56,1.8685,5.61156555446709,0.015625,250,8,33,100,72.37810945273633,-1698.3,-507.8,8111.6
57,1.9019,5.61156555446709,0.015625,250,8,33,100,73.85074626865672,-1701.5,-506.9,8110.8
58,1.9353,5.61156555446709,0.015625,250,8,33,100,71.87373737373737,-1697.5,-506.2,8110.6
59,1.9686,5.61156555446709,0.015625,250,8,33,100,72.13432835820896,-1699.8,-503.0,8109.5
60,2.002,5.61156555446709,0.015625,250,8,33,100,72.16417910447761,-1698.8,-507.5,8111.9
61,2.0354,5.61156555446709,0.015625,250,8,33,100,72.88059701492537,-1696.4,-504.1,8111.6
62,2.0687,5.61156555446709,0.015625,250,8,33,100,72.12626262626263,-1698.1,-508.8,8113.5
63,2.1021,5.61156555446709,0.015625,250,8,33,100,73.48756218905473,-1703.3,-506.4,8109.0
64,2.1355,5.61156555446709,0.015625,250,8,33,100,72.64676616915423,-1698.4,-510.4,8109.6
65,2.1688,5.61156555446709,0.015625,250,8,33,100,72.8905472636816,-1703.1,-503.3,8111.1
66,2.2022,5.61156555446709,0.015625,250,8,33,100,72.14141414141415,-1700.1,-507.0,8111.7
67,2.2356,5.61156555446709,0.015625,250,8,33,100,72.97512437810946,-1697.7,-504.2,8108.6
68,2.2689,5.61156555446709,0.015625,250,8,33,100,72.42288557213931,-1701.2,-509.0,8107.0
69,2.3023,5.61156555446709,0.015625,250,8,33,100,73.08457711442786,-1700.9,-504.4,8108.9
70,2.3357,5.61156555446709,0.015625,250,8,33,100,71.58080808080808,-1698.0,-505.8,8113.0
71,2.369,5.61156555446709,0.015625,250,8,33,100,73.16915422885572,-1701.4,-506.5,8107.8
72,2.4024,5.61156555446709,0.015625,250,8,33,100,73.1592039800995,-1698.6,-503.5,8113.0
73,2.4358,5.61156555446709,0.015625,250,8,33,100,73.07070707070707,-1701.9,-510.4,8113.0
74,2.4691,5.61156555446709,0.015625,250,8,33,100,73.44776119402985,-1698.6,-505.9,8107.7
75,2.5025,5.61156555446709,0.015625,250,8,33,100,71.97014925373135,-1699.6,-506.6,8110.1
76,2.5359,5.61156555446709,0.015625,250,8,33,100,72.01492537313433,-1702.0,-505.3,8110.0
77,2.5692,5.61156555446709,0.015625,250,8,33,100,72.1919191919192,-1696.4,-507.8,8108.7
78,2.6026,5.61156555446709,0.015625,250,8,33,100,72.14427860696517,-1698.9,-504.3,8112.6
79,2.636,5.61156555446709,0.015625,250,8,33,100,73.17910447761194,-1700.7,-507.4,8113.7
80,2.6693,5.61156555446709,0.015625,250,8,33,100,73.1044776119403,-1696.8,-506.7,8110.3
81,2.7027,5.61156555446709,0.015625,250,8,33,100,72.24242424242425,-1699.3,-506.4,8111.7
82,2.7361,5.61156555446709,0.015625,250,8,33,100,72.60199004975124,-1698.0,-505.6,8114.5
83,2.7694,5.61156555446709,0.015625,250,8,33,100,73.59701492537313,-1699.0,-504.8,8113.6
84,2.8028,5.61156555446709,0.015625,250,8,33,100,73.1044776119403,-1696.8,-507.6,8110.6
85,2.8362,5.61156555446709,0.015625,250,8,33,100,73.41414141414141,-1701.1,-507.0,8108.7
86,2.8695,5.61156555446709,0.015625,250,8,33,100,72.06965174129353,-1700.0,-509.1,8110.0
87,2.9029,5.61156555446709,0.015625,250,8,33,100,73.32835820895522,-1694.0,-505.7,8113.9
88,2.9363,5.61156555446709,0.015625,250,8,33,100,72.58585858585859,-1699.0,-504.1,8112.7
89,2.9696,5.61156555446709,0.015625,250,8,33,100,73.01492537313433,-1701.0,-503.2,8112.3
90,3.003,5.61156555446709,0.015625,250,8,33,100,70.72139303482587,-1695.4,-507.8,8111.9
91,3.0364,5.61156555446709,0.015625,250,8,33,100,73.81094527363184,-1699.9,-507.1,8110.4
92,3.0697,5.61156555446709,0.015625,250,8,33,100,71.62626262626263,-1701.3,-508.5,8108.6
93,3.1031,5.61156555446709,0.015625,250,8,33,100,72.33830845771145,-1700.3,-503.8,8111.6
94,3.1365,5.61156555446709,0.015625,250,8,33,100,73.07960199004975,-1700.9,-505.1,8114.3
95,3.1698,5.61156555446709,0.015625,250,8,33,100,72.44776119402985,-1698.1,-505.7,8111.2
96,3.2032,5.61156555446709,0.015625,250,8,33,100,72.97979797979798,-1699.0,-510.6,8112.8
97,3.2366,5.61156555446709,0.015625,250,8,33,100,72.92039800995025,-1698.6,-506.6,8108.4
98,3.2699,5.61156555446709,0.015625,250,8,33,100,72.53731343283582,-1701.3,-505.3,8115.3
99,3.3033,5.61156555446709,0.015625,250,8,33,100,72.53233830845771,-1705.6,-507.2,8107.9
100,3.3367,5.61156555446709,0.015625,250,8,33,100,73.96464646464646,-1698.6,-506.5,8109.9
101,3.37,5.61156555446709,0.015625,250,8,33,100,71.96517412935323,-1701.5,-508.4,8110.4
102,3.4034,5.61156555446709,0.015625,250,8,33,100,73.68656716417911,-1699.9,-505.8,8112.7
103,3.4368,5.61156555446709,0.015625,250,8,33,100,72.27272727272727,-1699.1,-509.8,8112.8
104,3.4701,5.61156555446709,0.015625,250,8,33,100,72.30348258706468,-1702.9,-505.8,8112.2
105,3.5035,5.61156555446709,0.015625,250,8,33,100,72.6318407960199,-1697.5,-507.8,8111.4
106,3.5369,5.61156555446709,0.015625,250,8,33,100,72.30348258706468,-1701.8,-505.8,8107.3
107,3.5702,5.61156555446709,0.015625,250,8,33,100,73.35353535353535,-1702.1,-510.0,8109.9
108,3.6036,5.61156555446709,0.015625,250,8,33,100,72.24875621890547,-1696.7,-505.7,8110.5
109,3.637,5.61156555446709,0.015625,250,8,33,100,71.5273631840796,-1703.5,-503.3,8110.9
110,3.6703,5.61156555446709,0.015625,250,8,33,100,72.88557213930348,-1697.9,-504.5,8108.8
111,3.7037,5.61156555446709,0.015625,250,8,33,100,72.83333333333333,-1701.7,-503.1,8109.9
112,3.7371,5.61156555446709,0.015625,250,8,33,100,72.86567164179104,-1701.4,-504.9,8113.3
113,3.7704,5.61156555446709,0.015625,250,8,33,100,72.44776119402985,-1701.9,-506.5,8111.4
114,3.8038,5.61156555446709,0.015625,250,8,33,100,73.05472636815921,-1698.6,-508.8,8109.4
115,3.8372,5.61156555446709,0.015625,250,8,33,100,73.01515151515152,-1701.2,-506.5,8112.5
116,3.8705,5.61156555446709,0.015625,250,8,33,100,72.87562189054727,-1702.4,-504.4,8107.2
117,3.9039,5.61156555446709,0.015625,250,8,33,100,72.22388059701493,-1701.2,-506.8,8112.1
118,3.9373,5.61156555446709,0.015625,250,8,33,100,72.01010101010101,-1696.2,-510.7,8112.9
119,3.9706,5.61156555446709,0.015625,250,8,33,100,73.21890547263682,-1702.4,-506.5,8112.1
120,4.004,5.61156555446709,0.015625,250,8,33,100,73.53731343283582,-1697.6,-510.0,8112.9
121,4.0374,5.61156555446709,0.015625,250,8,33,100,71.58208955223881,-1703.0,-505.3,8107.2
122,4.0707,5.61156555446709,0.015625,250,8,33,100,72.85858585858585,-1701.9,-506.3,8107.2
123,4.1041,5.61156555446709,0.015625,250,8,33,100,71.66666666666667,-1699.3,-506.0,8111.3
124,4.1375,5.61156555446709,0.015625,250,8,33,100,71.35820895522389,-1703.0,-506.7,8113.3
125,4.1708,5.61156555446709,0.015625,250,8,33,100,71.95522388059702,-1700.9,-506.9,8115.6
126,4.2042,5.61156555446709,0.015625,250,8,33,100,72.5050505050505,-1702.2,-504.2,8110.2
127,4.2376,5.61156555446709,0.015625,250,8,33,100,72.53731343283582,-1698.5,-506.6,8109.4
128,4.2709,5.61156555446709,0.015625,250,8,33,100,72.88059701492537,-1701.2,-502.3,8111.8
129,4.3043,5.61156555446709,0.015625,250,8,33,100,72.98507462686567,-1703.8,-506.2,8109.2
130,4.3377,5.61156555446709,0.015625,250,8,33,100,72.45959595959596,-1702.1,-507.2,8109.0
131,4.371,5.61156555446709,0.015625,250,8,33,100,72.79601990049751,-1697.5,-508.0,8113.2
132,4.4044,5.61156555446709,0.015625,250,8,33,100,72.14427860696517,-1701.0,-502.5,8115.4
133,4.4378,5.61156555446709,0.015625,250,8,33,100,71.98989898989899,-1700.8,-504.0,8111.5
134,4.4711,5.61156555446709,0.015625,250,8,33,100,72.09452736318408,-1699.1,-509.3,8109.2
135,4.5045,5.61156555446709,0.015625,250,8,33,100,72.76119402985074,-1700.3,-509.3,8113.7
136,4.5379,5.61156555446709,0.015625,250,8,33,100,72.24378109452736,-1699.7,-509.2,8108.6
137,4.5712,5.61156555446709,0.015625,250,8,33,100,72.86868686868686,-1701.4,-503.0,8111.7
138,4.6046,5.61156555446709,0.015625,250,8,33,100,72.78109452736318,-1700.0,-506.4,8108.6
139,4.638,5.61156555446709,0.015625,250,8,33,100,73.05472636815921,-1699.7,-499.2,8115.4
140,4.6713,5.61156555446709,0.015625,250,8,33,100,71.75621890547264,-1702.3,-510.1,8111.8
141,4.7047,5.61156555446709,0.015625,250,8,33,100,72.61111111111111,-1701.5,-508.6,8110.1
142,4.7381,5.61156555446709,0.015625,250,8,33,100,72.60199004975124,-1699.1,-507.1,8111.3
143,4.7714,5.61156555446709,0.015625,250,8,33,100,71.41293532338308,-1700.8,-503.3,8111.5
144,4.8048,5.61156555446709,0.015625,250,8,33,100,72.31343283582089,-1697.3,-505.4,8111.3
145,4.8382,5.61156555446709,0.015625,250,8,33,100,71.88383838383838,-1702.5,-504.7,8113.5
146,4.8715,5.61156555446709,0.015625,250,8,33,100,74.2089552238806,-1699.8,-507.1,8112.7
147,4.9049,5.61156555446709,0.015625,250,8,33,100,71.93532338308458,-1696.7,-506.8,8110.5
148,4.9383,5.61156555446709,0.015625,250,8,33,100,71.79292929292929,-1702.3,-507.1,8106.8
149,4.9716,5.61156555446709,0.015625,250,8,33,100,73.2139303482587,-1695.2,-508.3,8110.9
150,5.005,5.61156555446709,0.015625,250,8,33,100,73.0049751243781,-1703.9,-505.7,8111.4
151,5.0384,5.61156555446709,0.015625,250,8,33,100,72.54228855721394,-1698.5,-507.2,8114.6
152,5.0717,5.61156555446709,0.015625,250,8,33,100,72.3989898989899,-1697.8,-507.2,8112.8
153,5.1051,5.61156555446709,0.015625,250,8,33,100,72.23383084577114,-1701.1,-506.2,8110.9
154,5.1385,5.61156555446709,0.015625,250,8,33,100,73.40796019900498,-1697.5,-503.9,8110.4
155,5.1718,5.61156555446709,0.015625,250,8,33,100,72.53731343283582,-1701.5,-503.3,8109.7
156,5.2052,5.61156555446709,0.015625,250,8,33,100,73.21212121212122,-1700.9,-506.9,8108.2
157,5.2386,5.61156555446709,0.015625,250,8,33,100,71.96517412935323,-1702.1,-508.1,8112.9
158,5.2719,5.61156555446709,0.015625,250,8,33,100,73.13432835820896,-1704.3,-510.1,8112.6
159,5.3053,5.61156555446709,0.015625,250,8,33,100,72.64179104477611,-1697.9,-508.1,8109.9
160,5.3387,5.61156555446709,0.015625,250,8,33,100,72.37373737373737,-1701.3,-505.1,8110.7
161,5.372,5.61156555446709,0.015625,250,8,33,100,72.76119402985074,-1700.4,-509.9,8108.5
162,5.4054,5.61156555446709,0.015625,250,8,33,100,72.8407960199005,-1700.0,-505.6,8110.4
163,5.4388,5.61156555446709,0.015625,250,8,33,100,71.62121212121212,-1704.6,-508.0,8113.1
164,5.4721,5.61156555446709,0.015625,250,8,33,100,72.65671641791045,-1699.9,-506.0,8111.7
165,5.5055,5.61156555446709,0.015625,250,8,33,100,72.0049751243781,-1697.3,-507.5,8113.4
166,5.5389,5.61156555446709,0.015625,250,8,33,100,72.11940298507463,-1702.5,-501.5,8114.4
167,5.5722,5.61156555446709,0.015625,250,8,33,100,72.73232323232324,-1700.3,-509.6,8107.0
168,5.6056,5.61156555446709,0.015625,250,8,33,100,71.32835820895522,-1698.9,-507.6,8109.9
169,5.639,5.61156555446709,0.015625,250,8,33,100,72.5223880597015,-1699.6,-504.8,8110.8
170,5.6723,5.61156555446709,0.015625,250,8,33,100,72.58208955223881,-1700.5,-506.3,8113.9
