frame,t,state,red_score,green_score,before_v2_rule
0,0.0,occluded,-5.6,-4.9,red
3,0.1,red,46.5,-4.4,none
6,0.2,red,47.7,-4.2,red
9,0.3,red,46.2,-4.3,none
12,0.4,red,48.3,-4.4,red
15,0.501,red,46.0,-4.5,none
18,0.601,red,46.4,-4.6,none
21,0.701,red,47.2,-4.4,none
24,0.801,red,46.3,-4.4,none
27,0.901,red,48.1,-5.5,red
30,1.001,red,47.3,-4.3,red
33,1.101,red,46.3,-4.1,none
36,1.201,red,48.2,-4.4,red
39,1.301,red,47.4,-4.6,none
42,1.401,red,47.8,-4.4,none
45,1.502,red,47.1,-4.3,red
48,1.602,red,46.6,-4.2,red
51,1.702,red,47.1,-4.0,red
54,1.802,red,47.0,-4.6,red
57,1.902,red,46.7,-4.9,red
60,2.002,red,46.0,-3.9,red
63,2.102,red,46.5,-3.7,none
66,2.202,red,45.8,-4.7,none
69,2.302,red,46.5,-5.1,none
72,2.402,red,46.5,-4.5,none
75,2.502,red,46.2,-4.6,none
78,2.603,red,46.6,-4.8,red
81,2.703,red,46.0,-3.8,red
84,2.803,red,48.1,-4.1,red
87,2.903,red,46.3,-4.6,red
90,3.003,red,46.9,-4.7,none
93,3.103,red,46.7,-4.5,none
96,3.203,red,47.9,-4.5,none
99,3.303,red,47.7,-4.6,none
102,3.403,red,47.6,-5.4,none
105,3.504,red,48.9,-4.5,red
108,3.604,red,47.0,-5.0,red
111,3.704,red,47.3,-5.3,red
114,3.804,red,48.1,-4.9,red
117,3.904,red,47.7,-5.4,red
120,4.004,red,46.7,-5.0,red
123,4.104,red,46.6,-4.4,red
126,4.204,red,47.2,-3.9,red
129,4.304,red,46.6,-4.1,none
132,4.404,red,47.8,-4.4,red
135,4.504,red,46.3,-4.4,none
138,4.605,red,46.5,-4.3,red
141,4.705,red,45.2,-4.2,red
144,4.805,red,45.7,-4.4,red
147,4.905,red,46.9,-3.9,red
150,5.005,red,47.2,-4.5,red
153,5.105,red,47.2,-4.7,red
156,5.205,red,47.7,-4.8,red
159,5.305,red,47.2,-3.4,none
162,5.405,red,48.2,-4.3,red
165,5.506,red,48.1,-3.7,red
168,5.606,red,46.7,-4.5,none
171,5.706,red,46.6,-4.6,red
174,5.806,red,47.4,-4.6,red
177,5.906,red,47.9,-4.5,red
180,6.006,red,47.2,-4.4,red
183,6.106,red,47.4,-3.7,red
186,6.206,red,47.6,-4.5,red
189,6.306,red,47.9,-4.3,red
192,6.406,red,47.5,-4.1,red
195,6.506,red,48.2,-4.5,red
198,6.607,red,47.5,-4.5,red
201,6.707,red,47.7,-4.4,red
204,6.807,red,46.9,-4.1,red
207,6.907,red,47.9,-4.2,red
210,7.007,red,46.6,-4.0,red
213,7.107,red,47.9,-3.6,red
216,7.207,red,47.9,-4.9,red
219,7.307,red,47.8,-4.1,red
222,7.407,red,46.7,-4.3,red
225,7.508,red,47.5,-4.2,red
228,7.608,red,47.6,-4.4,red
231,7.708,red,47.5,-4.4,red
234,7.808,red,49.1,-4.0,red
237,7.908,red,48.2,-4.2,red
240,8.008,red,48.4,-3.9,red
243,8.108,red,48.2,-4.2,red
246,8.208,red,47.9,-3.9,red
249,8.308,red,47.5,-3.7,red
252,8.408,red,47.1,-4.8,red
255,8.508,red,48.0,-5.3,red
258,8.609,red,48.0,-4.9,red
261,8.709,red,48.3,-4.2,red
264,8.809,red,46.8,-4.3,red
267,8.909,red,47.4,-4.5,red
270,9.009,red,48.3,-4.3,red
273,9.109,red,47.2,-4.7,none
276,9.209,red,48.1,-4.6,red
279,9.309,red,47.6,-4.7,red
282,9.409,red,47.7,-4.4,red
285,9.51,red,47.3,-4.5,none
288,9.61,red,46.2,-4.6,none
291,9.71,red,46.9,-4.3,none
294,9.81,red,47.1,-4.4,none
297,9.91,red,46.8,-4.6,none
300,10.01,red,47.4,-4.6,none
303,10.11,red,48.0,-3.8,red
306,10.21,red,48.1,-5.1,none
309,10.31,red,46.9,-4.6,none
312,10.41,red,46.7,-4.8,none
315,10.51,red,47.6,-5.3,red
318,10.611,red,46.6,-4.1,none
321,10.711,red,47.5,-3.9,none
324,10.811,red,46.6,-4.8,none
327,10.911,red,48.5,-5.0,none
330,11.011,red,46.3,-4.4,none
333,11.111,red,46.4,-3.9,none
336,11.211,red,46.6,-4.8,none
339,11.311,red,46.7,-5.0,none
342,11.411,red,46.2,-4.5,none
345,11.512,red,46.8,-4.4,none
348,11.612,red,46.2,-4.5,none
351,11.712,red,45.6,-5.0,none
354,11.812,red,46.2,-4.8,none
357,11.912,red,45.9,-4.3,none
360,12.012,red,46.5,-4.3,red
363,12.112,red,46.5,-3.8,red
366,12.212,red,46.5,-4.8,none
369,12.312,red,45.6,-5.2,none
372,12.412,red,47.2,-5.0,red
375,12.513,red,46.3,-4.4,red
378,12.613,red,46.0,-4.2,red
381,12.713,red,46.7,-4.3,none
384,12.813,red,45.9,-4.7,red
387,12.913,red,46.8,-4.6,red
390,13.013,red,45.9,-4.8,red
393,13.113,red,45.8,-4.7,red
396,13.213,red,46.1,-5.0,red
399,13.313,red,46.5,-5.3,none
402,13.413,red,47.0,-4.6,red
405,13.514,red,47.6,-5.0,red
408,13.614,red,46.4,-4.4,red
411,13.714,red,47.3,-4.7,red
414,13.814,red,46.3,-4.6,red
417,13.914,red,46.9,-5.1,red
420,14.014,red,47.8,-4.9,red
423,14.114,red,47.1,-4.7,red
426,14.214,red,47.2,-4.2,red
429,14.314,red,47.4,-5.1,red
432,14.414,red,47.8,-4.3,red
435,14.514,red,47.6,-4.2,red
438,14.615,red,46.4,-4.2,red
441,14.715,red,47.0,-3.9,red
444,14.815,red,46.1,-4.8,red
447,14.915,red,46.9,-4.7,red
450,15.015,red,48.3,-4.2,red
453,15.115,red,47.1,-5.1,red
456,15.215,red,46.6,-3.9,red
459,15.315,red,47.7,-4.8,red
462,15.415,red,47.0,-4.1,red
465,15.516,red,48.5,-4.3,red
468,15.616,red,48.0,-4.5,red
471,15.716,red,48.3,-4.9,red
474,15.816,red,48.0,-5.2,red
477,15.916,red,46.2,-4.9,none
480,16.016,red,46.8,-4.1,red
483,16.116,red,48.7,-5.3,red
486,16.216,red,49.2,-3.8,red
489,16.316,red,48.7,-4.2,red
492,16.416,red,47.8,-4.3,red
495,16.516,red,47.9,-4.9,red
498,16.617,red,47.2,-5.6,red
501,16.717,red,47.5,-5.2,none
504,16.817,red,47.7,-5.3,red
507,16.917,red,47.5,-4.6,none
510,17.017,red,48.5,-4.1,red
513,17.117,red,47.2,-4.6,none
516,17.217,red,47.3,-4.2,red
