state,start,end,duration
red,0.0,24.02,24.02
red_amber,24.12,27.03,2.91
green,27.13,62.96,35.83
amber,63.06,65.97,2.91
red,66.07,99.0,32.93
red_amber,99.1,102.0,2.9
green,102.1,123.42,21.32
unclear,123.52,127.43,3.91
green,127.53,138.04,10.51
amber,138.14,141.04,2.9
red,141.14,174.07,32.93
red_amber,174.17,177.08,2.91
green,177.18,184.38,7.2
unclear,184.48,185.69,1.21
green,185.79,189.29,3.5
dark,189.39,192.39,3.0
green,192.49,213.01,20.52
amber,213.11,216.02,2.91
red,216.12,249.05,32.93
red_amber,249.15,252.05,2.9
green,252.15,288.19,36.04
amber,288.29,291.19,2.9
red,291.29,324.22,32.93
red_amber,324.32,327.23,2.91
green,327.33,340.24,12.91
