frame,t,state,red_score,amber_score,green_score,before_v2_rule
0,0.0,red,144.9,-5.3,0.3,red
3,0.1,red,143.8,-5.7,0.8,red
6,0.2,red,146.2,-5.3,0.6,red
9,0.3,red,142.9,-6.1,0.0,red
12,0.4,red,143.6,-5.4,0.9,red
15,0.501,red,143.0,-6.2,0.4,red
18,0.601,red,143.3,-5.6,1.4,red
21,0.701,red,145.3,-5.6,1.4,red
24,0.801,red,144.6,-5.0,1.6,red
27,0.901,red,144.1,-5.5,0.5,red
30,1.001,red,144.2,-5.7,0.5,red
33,1.101,red,142.9,-5.7,1.0,red
36,1.201,red,141.7,-5.5,1.5,red
39,1.301,red,142.8,-6.1,0.0,red
42,1.401,red,143.4,-6.0,0.2,red
45,1.502,red,143.6,-5.5,0.6,red
48,1.602,red,142.7,-5.0,0.4,red
51,1.702,red,142.3,-5.0,0.5,red
54,1.802,red,143.4,-5.3,-0.1,red
57,1.902,red,142.5,-5.6,0.8,red
60,2.002,red,141.9,-6.9,1.4,red
63,2.102,red,143.6,-5.3,1.4,red
66,2.202,red,142.1,-5.3,2.0,red
69,2.302,red,143.3,-5.2,0.9,red
72,2.402,red,142.3,-4.9,0.3,red
75,2.502,red,143.8,-4.8,0.5,red
78,2.603,red,144.1,-5.2,0.7,red
81,2.703,red,143.0,-5.9,1.0,red
84,2.803,red,142.3,-6.1,1.2,red
87,2.903,red,142.2,-5.7,1.0,red
90,3.003,red,143.2,-5.2,0.2,red
93,3.103,red,142.2,-6.0,-0.0,red
96,3.203,red,142.3,-4.9,1.7,red
99,3.303,red,142.1,-5.2,1.4,red
102,3.403,red,143.6,-5.8,0.7,red
105,3.504,red,144.3,-5.0,1.4,red
108,3.604,red,142.6,-5.4,2.0,red
111,3.704,red,142.4,-5.8,1.2,red
114,3.804,red,142.8,-6.6,1.8,red
117,3.904,red,143.2,-5.0,1.2,red
120,4.004,red,144.4,-5.4,1.2,red
123,4.104,red,142.8,-5.3,0.9,red
126,4.204,red,143.0,-6.1,1.1,red
129,4.304,red,143.2,-5.1,0.7,red
132,4.404,red,143.6,-4.7,1.1,red
135,4.504,red,142.9,-5.7,1.0,red
138,4.605,red,142.6,-5.9,1.3,red
141,4.705,red,143.8,-4.7,0.4,red
144,4.805,red,142.5,-6.0,1.7,red
147,4.905,red,142.3,-5.5,0.4,red
150,5.005,red,143.1,-5.7,1.7,red
153,5.105,red,142.1,-5.5,0.5,red
156,5.205,red,143.9,-5.2,1.5,red
159,5.305,red,142.8,-5.7,1.3,red
162,5.405,red,142.7,-5.4,1.6,red
165,5.506,red,142.6,-5.7,-0.1,red
168,5.606,red,142.4,-4.8,1.5,red
171,5.706,red,142.4,-5.6,1.8,red
174,5.806,red,143.3,-5.0,1.1,red
177,5.906,red,143.2,-5.0,1.6,red
180,6.006,red,142.1,-6.0,0.9,red
183,6.106,red,142.1,-5.2,1.5,red
186,6.206,red,142.4,-6.0,1.8,red
189,6.306,red,142.3,-5.7,0.9,red
192,6.406,red,142.5,-5.9,0.7,red
195,6.506,red,142.6,-5.9,1.3,red
198,6.607,red,143.9,-5.2,0.6,red
201,6.707,red,143.6,-5.7,2.1,red
