start_frame,end_frame,start_t,end_t,duration_s,state,n_samples,n_observed,n_imputed,n_unobserved,imputed,start_uncertainty_frames
0,3,0.0,0.1,0.1,unknown,1,0,0,1,False,0
3,813,0.1,27.127,27.027,red,270,270,0,0,False,6
813,1710,27.127,57.057,29.93,green,299,299,0,0,False,3
1710,1800,57.057,60.06,3.003,green_blink,30,30,0,0,False,3
1800,3060,60.06,102.102,42.042,red,420,420,0,0,False,3
3060,3960,102.102,132.132,30.03,green,300,300,0,0,False,3
3960,4050,132.132,135.135,3.003,green_blink,30,30,0,0,False,3
4050,5307,135.135,177.077,41.942,red,419,419,0,0,False,3
5307,6207,177.077,207.107,30.03,green,300,300,0,0,False,3
6207,6297,207.107,210.11,3.003,green_blink,30,30,0,0,False,3
6297,7557,210.11,252.152,42.042,red,420,420,0,0,False,3
7557,8460,252.152,282.282,30.13,green,301,301,0,0,False,3
8460,8550,282.282,285.285,3.003,green_blink,30,30,0,0,False,3
8550,9810,285.285,327.327,42.042,red,420,420,0,0,False,3
9810,10200,327.327,340.34,13.013,green,130,130,0,0,False,3
