frame,t_sec,state,observation,confidence,margin_sd,reason,v3_label,red_on,red_z,green_on,green_z
0,0.0,red,observed,1.0,15.69,,red,1,26.71,0,-15.69
3,0.1,red,observed,1.0,15.76,,red,1,27.9,0,-15.76
6,0.2,red,observed,1.0,15.76,,red,1,26.47,0,-15.76
9,0.3,red,observed,1.0,15.53,,red,1,28.25,0,-15.53
12,0.4,red,observed,1.0,15.53,,red,1,27.66,0,-15.53
15,0.501,red,observed,1.0,15.84,,red,1,27.07,0,-15.84
18,0.601,red,observed,1.0,15.23,,red,1,26.59,0,-15.23
21,0.701,red,observed,1.0,15.46,,red,1,26.12,0,-15.46
24,0.801,red,observed,1.0,15.38,,red,1,26.71,0,-15.38
27,0.901,red,observed,1.0,15.46,,red,1,26.95,0,-15.46
30,1.001,red,observed,1.0,15.84,,red,1,27.3,0,-15.84
33,1.101,red,observed,1.0,15.91,,red,1,27.54,0,-15.91
36,1.201,red,observed,1.0,15.38,,red,1,25.76,0,-15.38
39,1.301,red,observed,1.0,15.91,,red,1,26.24,0,-15.91
42,1.401,red,observed,1.0,15.53,,red,1,26.71,0,-15.53
45,1.502,red,observed,1.0,15.53,,red,1,25.52,0,-15.53
48,1.602,red,observed,1.0,15.23,,red,1,25.4,0,-15.23
51,1.702,red,observed,1.0,15.69,,red,1,26.83,0,-15.69
54,1.802,red,observed,1.0,16.14,,red,1,27.54,0,-16.14
57,1.902,red,observed,1.0,15.99,,red,1,25.17,0,-15.99
60,2.002,red,observed,1.0,15.08,,red,1,27.18,0,-15.08
63,2.102,red,observed,1.0,15.16,,red,1,25.88,0,-15.16
66,2.202,red,observed,1.0,15.46,,red,1,26.12,0,-15.46
69,2.302,red,observed,1.0,15.61,,red,1,26.24,0,-15.61
72,2.402,red,observed,1.0,15.91,,red,1,24.81,0,-15.91
75,2.502,red,observed,1.0,15.61,,red,1,25.29,0,-15.61
78,2.603,red,observed,1.0,15.69,,red,1,24.81,0,-15.69
81,2.703,red,observed,1.0,15.91,,red,1,25.05,0,-15.91
84,2.803,red,observed,1.0,15.76,,red,1,24.93,0,-15.76
87,2.903,red,observed,1.0,15.46,,red,1,24.93,0,-15.46
90,3.003,red,observed,1.0,15.61,,red,1,24.81,0,-15.61
93,3.103,red,observed,1.0,16.44,,red,1,26.0,0,-16.44
96,3.203,red,observed,1.0,16.14,,red,1,24.69,0,-16.14
99,3.303,red,observed,1.0,15.46,,red,1,24.93,0,-15.46
102,3.403,red,observed,1.0,15.84,,red,1,24.93,0,-15.84
105,3.504,red,observed,1.0,16.22,,red,1,25.17,0,-16.22
108,3.604,red,observed,1.0,16.29,,red,1,24.45,0,-16.29
111,3.704,red,observed,1.0,15.69,,red,1,25.29,0,-15.69
114,3.804,red,observed,1.0,15.61,,red,1,24.45,0,-15.61
117,3.904,red,observed,1.0,16.06,,red,1,26.71,0,-16.06
120,4.004,red,observed,1.0,15.69,,red,1,26.59,0,-15.69
123,4.104,red,observed,1.0,15.69,,red,1,25.76,0,-15.69
126,4.204,red,observed,1.0,15.84,,red,1,25.4,0,-15.84
129,4.304,red,observed,1.0,15.46,,red,1,25.4,0,-15.46
132,4.404,red,observed,1.0,15.84,,red,1,23.74,0,-15.84
