frame,t_sec,state,observation,confidence,margin_sd,reason,v3_label,red_on,red_z,amber_on,amber_z,green_on,green_z
0,0.0,red,observed,1.0,4.35,,red,1,16.35,0,-4.35,0,-14.93
3,0.1,red,observed,1.0,4.19,,red,1,15.58,0,-4.19,0,-14.74
6,0.2,red,observed,1.0,4.02,,red,1,14.81,0,-4.02,0,-14.29
9,0.3,red,observed,1.0,4.35,,red,1,17.25,0,-4.35,0,-14.56
12,0.4,red,observed,1.0,3.06,,red,1,15.32,0,-3.06,0,-14.56
15,0.501,red,observed,1.0,4.67,,red,1,15.58,0,-4.67,0,-14.74
18,0.601,red,observed,1.0,4.99,,red,1,14.55,0,-4.99,0,-14.19
21,0.701,red,observed,1.0,4.19,,red,1,13.78,0,-4.19,0,-14.29
24,0.801,red,observed,1.0,3.86,,red,1,15.07,0,-3.86,0,-14.74
27,0.901,red,observed,1.0,4.19,,red,1,17.25,0,-4.19,0,-14.74
30,1.001,red,observed,1.0,3.54,,red,1,15.58,0,-3.54,0,-14.56
33,1.101,red,observed,1.0,4.19,,red,1,15.58,0,-4.19,0,-14.65
36,1.201,red,observed,1.0,4.67,,red,1,15.71,0,-4.67,0,-14.56
39,1.301,red,observed,1.0,4.19,,red,1,17.64,0,-4.19,0,-14.19
42,1.401,red,observed,1.0,3.22,,red,1,16.35,0,-3.22,0,-14.74
45,1.502,red,observed,1.0,4.19,,red,1,14.42,0,-4.19,0,-14.83
48,1.602,red,observed,1.0,3.86,,red,1,17.0,0,-3.86,0,-14.38
51,1.702,red,observed,1.0,4.19,,red,1,17.51,0,-4.19,0,-13.74
54,1.802,red,observed,1.0,5.47,,red,1,16.48,0,-5.47,0,-14.47
57,1.902,red,observed,1.0,3.22,,red,1,16.74,0,-3.22,0,-14.93
60,2.002,red,observed,1.0,2.9,,red,1,15.97,0,-2.9,0,-13.74
63,2.102,red,observed,1.0,2.9,,red,1,17.0,0,-2.9,0,-14.47
66,2.202,red,observed,1.0,2.74,,red,1,15.45,0,-2.74,0,-14.1
69,2.302,red,observed,1.0,3.7,,red,1,15.71,0,-3.7,0,-14.65
72,2.402,red,observed,1.0,3.54,,red,1,15.45,0,-3.54,0,-14.74
75,2.502,red,observed,1.0,4.02,,red,1,16.35,0,-4.02,0,-14.65
78,2.603,red,observed,1.0,5.15,,red,1,16.74,0,-5.15,0,-13.74
81,2.703,red,observed,1.0,2.25,,red,1,16.1,0,-2.25,0,-13.74
84,2.803,red,observed,1.0,4.51,,red,1,16.22,0,-4.51,0,-14.38
87,2.903,red,observed,1.0,4.67,,red,1,15.84,0,-4.67,0,-14.83
90,3.003,red,observed,1.0,4.35,,red,1,16.22,0,-4.35,0,-14.29
93,3.103,red,observed,1.0,3.86,,red,1,16.22,0,-3.86,0,-14.38
96,3.203,red,observed,1.0,3.54,,red,1,15.32,0,-3.54,0,-15.11
99,3.303,red,observed,1.0,3.54,,red,1,15.97,0,-3.54,0,-14.56
102,3.403,red,observed,1.0,2.74,,red,1,15.84,0,-2.74,0,-14.47
105,3.504,red,observed,1.0,2.58,,red,1,16.35,0,-2.58,0,-14.65
108,3.604,red,observed,1.0,2.41,,red,1,15.71,0,-2.41,0,-14.19
111,3.704,red,observed,1.0,2.9,,red,1,16.74,0,-2.9,0,-14.47
114,3.804,red,observed,1.0,2.58,,red,1,15.07,0,-2.58,0,-14.56
117,3.904,red,observed,1.0,4.02,,red,1,14.81,0,-4.02,0,-14.56
120,4.004,red,observed,1.0,4.67,,red,1,13.52,0,-4.67,0,-14.93
123,4.104,red,observed,1.0,3.86,,red,1,15.19,0,-3.86,0,-15.02
126,4.204,red,observed,1.0,4.51,,red,1,14.55,0,-4.51,0,-14.19
129,4.304,red,observed,1.0,3.86,,red,1,13.65,0,-3.86,0,-14.93
132,4.404,red,observed,1.0,4.51,,red,1,14.42,0,-4.51,0,-14.1
135,4.504,red,observed,1.0,3.54,,red,1,15.19,0,-3.54,0,-14.74
138,4.605,red,observed,1.0,3.22,,red,1,15.71,0,-3.22,0,-14.93
141,4.705,red,observed,1.0,3.7,,red,1,14.29,0,-3.7,0,-15.2
144,4.805,red,observed,1.0,3.54,,red,1,14.94,0,-3.54,0,-14.83
147,4.905,red,observed,1.0,3.86,,red,1,14.42,0,-3.86,0,-14.74
150,5.005,red,observed,1.0,3.06,,red,1,14.81,0,-3.06,0,-14.01
153,5.105,red,observed,1.0,2.41,,red,1,15.97,0,-2.41,0,-14.47
156,5.205,red,observed,1.0,2.58,,red,1,15.07,0,-2.58,0,-15.02
159,5.305,red,observed,1.0,2.9,,red,1,14.81,0,-2.9,0,-14.83
162,5.405,red,observed,1.0,3.06,,red,1,14.68,0,-3.06,0,-14.19
165,5.506,red,observed,1.0,2.58,,red,1,14.94,0,-2.58,0,-14.19
168,5.606,red,observed,1.0,3.22,,red,1,15.58,0,-3.22,0,-14.56
171,5.706,red,observed,1.0,2.25,,red,1,14.16,0,-2.25,0,-14.19
174,5.806,red,observed,1.0,3.54,,red,1,14.68,0,-3.54,0,-15.11
177,5.906,red,observed,0.644,1.29,,red,1,15.71,0,-1.29,0,-14.93
180,6.006,red,observed,1.0,3.7,,red,1,14.94,0,-3.7,0,-14.65
183,6.106,red,observed,1.0,3.86,,red,1,15.84,0,-3.86,0,-14.65
186,6.206,red,observed,1.0,3.38,,red,1,14.55,0,-3.38,0,-14.65
189,6.306,red,observed,1.0,3.7,,red,1,15.45,0,-3.7,0,-13.74
192,6.406,red,observed,1.0,3.38,,red,1,14.68,0,-3.38,0,-14.74
195,6.506,red,observed,1.0,2.58,,red,1,15.71,0,-2.58,0,-15.38
198,6.607,red,observed,1.0,2.74,,red,1,16.48,0,-2.74,0,-14.83
201,6.707,red,observed,1.0,3.22,,red,1,15.84,0,-3.22,0,-15.2
204,6.807,red,observed,1.0,2.9,,red,1,15.45,0,-2.9,0,-14.47
207,6.907,red,observed,1.0,3.38,,red,1,15.07,0,-3.38,0,-14.56
210,7.007,red,observed,1.0,3.38,,red,1,16.87,0,-3.38,0,-15.48
213,7.107,red,observed,1.0,3.38,,red,1,16.61,0,-3.38,0,-14.93
216,7.207,red,observed,1.0,3.7,,red,1,15.19,0,-3.7,0,-15.48
219,7.307,red,observed,1.0,5.15,,red,1,15.32,0,-5.15,0,-14.65
222,7.407,red,observed,1.0,2.9,,red,1,15.71,0,-2.9,0,-14.65
225,7.508,red,observed,1.0,2.74,,red,1,16.87,0,-2.74,0,-15.66
228,7.608,red,observed,1.0,4.02,,red,1,15.84,0,-4.02,0,-14.47
231,7.708,red,observed,1.0,5.15,,red,1,16.74,0,-5.15,0,-14.74
234,7.808,red,observed,1.0,4.51,,red,1,16.1,0,-4.51,0,-14.93
237,7.908,red,observed,1.0,3.38,,red,1,15.84,0,-3.38,0,-15.02
240,8.008,red,observed,1.0,4.35,,red,1,17.25,0,-4.35,0,-14.93
243,8.108,red,observed,1.0,3.86,,red,1,17.0,0,-3.86,0,-14.83
246,8.208,red,observed,1.0,4.02,,red,1,15.58,0,-4.02,0,-15.2
249,8.308,red,observed,1.0,5.47,,red,1,15.71,0,-5.47,0,-15.02
252,8.408,red,observed,1.0,4.35,,red,1,15.32,0,-4.35,0,-14.74
255,8.508,red,observed,1.0,4.67,,red,1,15.45,0,-4.67,0,-14.01
258,8.609,red,observed,1.0,5.15,,red,1,14.81,0,-5.15,0,-14.47
261,8.709,red,observed,1.0,4.51,,red,1,16.1,0,-4.51,0,-15.02
264,8.809,red,observed,1.0,5.15,,red,1,15.58,0,-5.15,0,-14.74
267,8.909,red,observed,1.0,5.15,,red,1,14.94,0,-5.15,0,-14.29
270,9.009,red,observed,1.0,3.22,,red,1,15.58,0,-3.22,0,-14.29
273,9.109,red,observed,1.0,2.58,,red,1,16.1,0,-2.58,0,-14.38
276,9.209,red,observed,1.0,3.54,,red,1,15.84,0,-3.54,0,-15.02
279,9.309,red,observed,1.0,4.83,,red,1,15.58,0,-4.83,0,-14.56
282,9.409,red,observed,0.885,1.77,,red,1,15.71,0,-1.77,0,-14.47
285,9.51,red,observed,1.0,6.28,,red,1,14.42,0,-6.28,0,-14.38
288,9.61,red,observed,1.0,3.86,,red,1,15.07,0,-3.86,0,-14.47
291,9.71,red,observed,1.0,4.99,,red,1,15.32,0,-4.99,0,-14.38
294,9.81,red,observed,1.0,3.38,,red,1,16.48,0,-3.38,0,-14.83
297,9.91,red,observed,1.0,4.02,,red,1,13.78,0,-4.02,0,-14.47
300,10.01,red,observed,1.0,3.7,,red,1,13.52,0,-3.7,0,-15.2
303,10.11,red,observed,1.0,3.22,,red,1,13.78,0,-3.22,0,-15.02
306,10.21,red,observed,1.0,4.99,,red,1,13.39,0,-4.99,0,-14.93
309,10.31,red,observed,1.0,4.83,,red,1,12.49,0,-4.83,0,-15.2
312,10.41,red,observed,1.0,3.86,,red,1,13.52,0,-3.86,0,-14.74
315,10.51,red,observed,1.0,4.35,,red,1,13.52,0,-4.35,0,-15.29
318,10.611,red,observed,1.0,3.06,,red,1,14.04,0,-3.06,0,-14.38
321,10.711,red,observed,1.0,3.38,,red,1,14.42,0,-3.38,0,-14.93
324,10.811,red,observed,1.0,3.06,,red,1,15.58,0,-3.06,0,-14.1
327,10.911,red,observed,1.0,2.25,,red,1,14.81,0,-2.25,0,-14.29
330,11.011,red,observed,1.0,4.02,,red,1,14.68,0,-4.02,0,-15.11
333,11.111,red,observed,1.0,3.7,,red,1,13.39,0,-3.7,0,-14.74
336,11.211,red,observed,1.0,3.38,,red,1,14.68,0,-3.38,0,-14.93
339,11.311,red,observed,1.0,2.9,,red,1,15.07,0,-2.9,0,-14.93
342,11.411,red,observed,1.0,3.38,,red,1,13.39,0,-3.38,0,-15.11
345,11.512,red,observed,1.0,3.7,,red,1,14.42,0,-3.7,0,-15.2
348,11.612,red,observed,1.0,3.38,,red,1,14.81,0,-3.38,0,-14.47
351,11.712,red,observed,1.0,3.38,,red,1,14.29,0,-3.38,0,-14.93
354,11.812,red,observed,1.0,3.54,,red,1,14.94,0,-3.54,0,-14.65
357,11.912,red,observed,1.0,3.38,,red,1,13.91,0,-3.38,0,-14.74
360,12.012,red,observed,1.0,2.25,,red,1,14.55,0,-2.25,0,-14.56
363,12.112,red,observed,0.966,1.93,,red,1,14.04,0,-1.93,0,-15.29
366,12.212,red,observed,0.966,1.93,,red,1,15.84,0,-1.93,0,-14.1
369,12.312,red,observed,1.0,3.86,,red,1,15.45,0,-3.86,0,-14.74
372,12.412,red,observed,1.0,2.58,,red,1,15.19,0,-2.58,0,-14.65
375,12.513,red,observed,0.966,1.93,,red,1,14.81,0,-1.93,0,-14.56
378,12.613,red,observed,1.0,3.7,,red,1,15.71,0,-3.7,0,-14.93
381,12.713,red,observed,1.0,3.7,,red,1,16.61,0,-3.7,0,-14.65
384,12.813,red,observed,0.724,1.45,,red,1,14.29,0,-1.45,0,-14.56
387,12.913,red,observed,1.0,3.86,,red,1,15.32,0,-3.86,0,-14.29
390,13.013,red,observed,1.0,3.86,,red,1,15.45,0,-3.86,0,-14.74
393,13.113,red,observed,1.0,2.9,,red,1,14.16,0,-2.9,0,-14.56
396,13.213,red,observed,1.0,2.58,,red,1,14.94,0,-2.58,0,-14.47
399,13.313,red,observed,1.0,3.54,,red,1,14.42,0,-3.54,0,-14.93
402,13.413,red,observed,1.0,3.22,,red,1,14.94,0,-3.22,0,-14.38
405,13.514,red,observed,1.0,3.54,,red,1,15.32,0,-3.54,0,-14.65
408,13.614,red,observed,1.0,3.7,,red,1,15.32,0,-3.7,0,-15.11
411,13.714,red,observed,1.0,3.86,,red,1,17.0,0,-3.86,0,-14.83
414,13.814,red,observed,1.0,4.02,,red,1,15.19,0,-4.02,0,-14.83
417,13.914,red,observed,1.0,4.19,,red,1,14.68,0,-4.19,0,-14.1
420,14.014,red,observed,1.0,4.02,,red,1,15.97,0,-4.02,0,-14.56
423,14.114,red,observed,1.0,4.02,,red,1,15.97,0,-4.02,0,-15.11
426,14.214,red,observed,1.0,2.9,,red,1,14.55,0,-2.9,0,-14.38
429,14.314,red,observed,1.0,3.22,,red,1,15.19,0,-3.22,0,-14.56
432,14.414,red,observed,1.0,4.02,,red,1,15.84,0,-4.02,0,-14.65
435,14.514,red,observed,1.0,4.02,,red,1,16.22,0,-4.02,0,-13.55
438,14.615,red,observed,1.0,4.02,,red,1,16.48,0,-4.02,0,-14.83
441,14.715,red,observed,1.0,5.31,,red,1,15.97,0,-5.31,0,-14.83
444,14.815,red,observed,1.0,4.02,,red,1,15.97,0,-4.02,0,-14.83
447,14.915,red,observed,1.0,4.19,,red,1,15.84,0,-4.19,0,-15.38
450,15.015,red,observed,1.0,3.54,,red,1,16.22,0,-3.54,0,-14.83
453,15.115,red,observed,1.0,2.74,,red,1,16.48,0,-2.74,0,-14.74
456,15.215,red,observed,1.0,3.54,,red,1,16.1,0,-3.54,0,-15.2
459,15.315,red,observed,1.0,2.41,,red,1,15.97,0,-2.41,0,-14.29
