id,stem,head,frame,t_s,auto_label,image,human_label
C3905_D_00,C3905,D,96,3.2,red,C3905/C3905_D_00_f00096.jpg,
C3905_D_01,C3905,D,297,9.91,red,C3905/C3905_D_01_f00297.jpg,
C3905_D_02,C3905,D,372,12.41,red,C3905/C3905_D_02_f00372.jpg,
C3905_D_03,C3905,D,450,15.02,red,C3905/C3905_D_03_f00450.jpg,
C3905_D_04,C3905,D,627,20.92,red,C3905/C3905_D_04_f00627.jpg,
C3905_D_05,C3905,D,669,22.32,red,C3905/C3905_D_05_f00669.jpg,
C3905_D_06,C3905,D,1074,35.84,green,C3905/C3905_D_06_f01074.jpg,
C3905_D_07,C3905,D,1131,37.74,green,C3905/C3905_D_07_f01131.jpg,
C3905_D_08,C3905,D,1335,44.54,green,C3905/C3905_D_08_f01335.jpg,
C3905_D_09,C3905,D,1368,45.65,green,C3905/C3905_D_09_f01368.jpg,
C3905_D_10,C3905,D,1392,46.45,green,C3905/C3905_D_10_f01392.jpg,
C3905_D_11,C3905,D,1752,58.46,green,C3905/C3905_D_11_f01752.jpg,
C3905_D_12,C3905,D,1968,65.67,green,C3905/C3905_D_12_f01968.jpg,
C3905_D_13,C3905,D,2304,76.88,red,C3905/C3905_D_13_f02304.jpg,
C3905_D_14,C3905,D,2397,79.98,red,C3905/C3905_D_14_f02397.jpg,
C3905_D_15,C3905,D,2418,80.68,red,C3905/C3905_D_15_f02418.jpg,
C3905_D_16,C3905,D,2424,80.88,red,C3905/C3905_D_16_f02424.jpg,
C3905_D_17,C3905,D,2472,82.48,red,C3905/C3905_D_17_f02472.jpg,
C3905_D_18,C3905,D,2658,88.69,red,C3905/C3905_D_18_f02658.jpg,
C3905_D_19,C3905,D,2724,90.89,red,C3905/C3905_D_19_f02724.jpg,
C3905_D_20,C3905,D,2769,92.39,red,C3905/C3905_D_20_f02769.jpg,
C3905_D_21,C3905,D,2874,95.9,red,C3905/C3905_D_21_f02874.jpg,
C3905_D_22,C3905,D,2979,99.4,red,C3905/C3905_D_22_f02979.jpg,
C3905_D_23,C3905,D,3129,104.4,red,C3905/C3905_D_23_f03129.jpg,
C3905_D_24,C3905,D,3183,106.21,red,C3905/C3905_D_24_f03183.jpg,
C3905_D_25,C3905,D,3249,108.41,red,C3905/C3905_D_25_f03249.jpg,
C3905_D_26,C3905,D,3417,114.01,red_amber,C3905/C3905_D_26_f03417.jpg,
